vehicle_id,fuel_level,mileage,timestamp,location,driver_id
VEH-0014,unknown,118123.3,09-06-2024,Chicago,DRV-0215
VEH-0142,6.8%,6453.0,2024/10/30 18:00:00,Los Angeles,DRV-0331
VEH-0018,7.1,63597.9 mi,2024/11/24 17:09:00,Houston,DRV-0133
VEH-0181,73.2,152736.6,2024-09-16 10:41:00,New York,DRV-0160
VEH-0039,73.8,130362.3,02-18-2024,n/a,DRV-0229
VEH-0178,59.5,,2024-11-19 23:29:00,Los Angeles,DRV-0083
VEH-0135,14.4,2154.8,01-27-2024,Phoenix,DRV-0032
VEH-0021,5.2,28411.5,11/05/2024 21:23,Los Angeles,DRV-0086
VEH-0207,unknown,177417.8,11-25-2024,Phoenix,DRV-0318
VEH-0073,79.3,144398.3,04/02/2024 22:13,n/a,DRV-0200
VEH-0080,67.4,211721.8,08-26-2024,Phoenix,DRV-0338
VEH-0176,96.1,N/A,2024-12-26 11:28:00,n/a,DRV-0195
VEH-0034,89.6,97300.4,03-18-2024,Houston,DRV-0137
VEH-0182,,184781.2,2024-05-20 08:59:00,New York,DRV-0198
VEH-0049,81.4,171283.6,25/02/2024 04:20,Chicago,DRV-0388
VEH-0092,26.5,123764.0,01-14-2024,,DRV-0085
VEH-0133,21.8,237490.3,07-16-2024,Phoenix,DRV-0036
VEH-0198,73.4,52207.7,03/02/2024 19:21,Houston,DRV-0092
VEH-0129,85.1,137636.3,16/01/2024 20:38,Los Angeles,DRV-0182
VEH-0202,18.0%,59385.8,2024/10/06 22:17:00,Los Angeles,DRV-0184
VEH-0220,70.5,112746.6,2024-02-21 05:06:00,Phoenix,DRV-0106
VEH-0160,56.6,178675.6,2024/12/02 04:27:00,,DRV-0253
VEH-0102,84.8,182215.4,01-30-2024,,DRV-0262
VEH-0176,7.5,246721.7,12-21-2024,New York,DRV-0217
VEH-0087,9.0,150228.0,2024-02-25 20:29:00,Chicago,DRV-0079
VEH-0164,15.5,20684.2,11-05-2024,New York,DRV-0029
VEH-0045,9.5,189596.2,2024/06/28 17:07:00,Phoenix,DRV-0399
VEH-0151,56.3,,24/01/2024 13:44,n/a,DRV-0178
VEH-0073,,231595.7,06-26-2024,Chicago,DRV-0246
,95.2,184481.9,2024-05-12 08:13:00,Chicago,DRV-0190
VEH-0240,124.6,49024.4,2024/03/23 17:25:00,Phoenix,DRV-0002
VEH-0025,6.4,207843.4,14/03/2024 13:09,New York,DRV-0196
VEH-0239,6.9,137429.3,03-15-2024,,DRV-0292
VEH-0247,89.9%,,02-06-2024,New York,DRV-0215
VEH-0180,37.0,116059.6,2024/03/12 08:47:00,n/a,DRV-0351
VEH-0075,87.4,59118.7,10-09-2024,Houston,DRV-0386
VEH-0243,66.8,209341.8 mi,2024-08-16 14:47:00,,DRV-0222
,42.2,9980.6,22/10/2024 10:43,Phoenix,DRV-0283
  ,55.2,-12626.9,24/08/2024 16:10,n/a,DRV-0173
VEH-0140,20.7,129143.2,06-06-2024,Houston,DRV-0348
VEH-0027,25.2,,2024-06-15 12:00:00,Los Angeles,DRV-0282
VEH-0114,23.0%,226.5,2024-07-11 00:27:00,New York,DRV-0206
,44.4,156558.6,04/05/2024 08:31,UNKNOWN,DRV-0149
VEH-0226,1.4,-62094.1,2024/05/06 23:02:00,Phoenix,DRV-0189
VEH-0148,45.0,,2024-01-05 03:40:00,Los Angeles,DRV-0193
VEH-0021,85.3,214038.4,2024-03-14 05:35:00,Chicago,DRV-0181
VEH-0233,44.3,12090.7 mi,10-03-2024,Houston,DRV-0174
VEH-0095,14.1,156235.9,06-02-2024,Los Angeles,DRV-0167
VEH-0034,68.7,,2024/01/16 09:03:00,Los Angeles,DRV-0171
VEH-0013,63.0,207163.2,18/04/2024 16:38,Chicago,DRV-0225
VEH-0150,88.8,49804.9,2024/11/20 19:46:00,Chicago,DRV-0012
VEH-0126,94.6,N/A,05-18-2024,New York,DRV-0253
VEH-0123,117.0,60549.0,2024-09-27 02:57:00,UNKNOWN,DRV-0013
VEH-0233,63.4,88476.4,12-28-2024,,DRV-0092
VEH-0205,56.0,N/A,2024/10/18 04:20:00,Chicago,DRV-0056
VEH-0225,95.3,129184.0,23/08/2024 04:10,Chicago,DRV-0116
VEH-0141,73.6,75307.8,2024/10/29 23:04:00,Phoenix,DRV-0055
VEH-0030,44.8,33568.7,11-23-2024,UNKNOWN,DRV-0274
VEH-0003,46.1,76771.9,2024/04/05 08:12:00,Houston,DRV-0285
VEH-0091,78.4,99135.7,10-17-2024,,DRV-0051
VEH-0012,116.5,66698.6,01/01/2024 19:02,Phoenix,DRV-0334
VEH-0009,44.7,18094.1,02-10-2024,Phoenix,DRV-0363
VEH-0219,18.7,223139.7,2024/06/09 14:11:00,Houston,DRV-0249
VEH-0206,47.2,,10-05-2024,UNKNOWN,DRV-0249
VEH-0013,58.8,106624.9,27/01/2024 06:05,Chicago,DRV-0301
VEH-0033,unknown,247490.1,2024-08-29 10:15:00,New York,DRV-0026
VEH-0228,96.2,127866.9,2024-06-15 12:00:00,Los Angeles,DRV-0339
VEH-0244,97.0,216267.8,2024-01-05 05:10:00,,DRV-0271
VEH-0009,68.8,68368.6,08-17-2024,New York,DRV-0306
VEH-0007,50.7,218555.6,08-19-2024,Chicago,DRV-0221
VEH-0172,82.4,25786.7,2024/05/31 09:11:00,UNKNOWN,DRV-0288
VEH-0233,62.9,243995.8,2024/02/20 10:28:00,n/a,DRV-0017
VEH-0128,31.8,212027.3,2024-10-10 12:13:00,UNKNOWN,DRV-0209
VEH-0080,80.9,90442.1,2024-03-07 18:34:00,New York,DRV-0273
VEH-0249,66.3,213134.7,07-12-2024,n/a,DRV-0301
VEH-0169,28.7,91946.5,15/03/2024 23:38,Phoenix,DRV-0289
